#Playouts	randomMCTS	RuleBased
#for 200games
500	473	477
500	457	481
500	501	427
500	494	469
500	450	501
500	458	502
500	485	476
500	462	478
500	432	508
500	467	467
500	437	513
500	495	455
500	509	454
500	466	495
500	501	438
500	470	453
500	478	462
500	500	460
500	506	465
500	488	454
500	527	457
500	454	480
500	454	473
500	477	468
500	418	490
500	428	489
500	486	477
500	498	432
500	498	479
500	504	450
550	458	459
550	470	459
550	439	483
550	469	436
550	447	504
550	456	485
550	483	480
550	456	459
550	455	501
550	441	447
550	448	504
550	478	441
550	466	473
550	498	469
550	489	490
550	481	465
550	499	449
550	503	474
550	481	461
550	476	458
550	469	486
550	481	446
550	517	444
550	418	520
550	449	475
550	486	443
550	489	466
550	453	487
550	528	404
550	453	494
600	485	453
600	490	420
600	459	507
600	492	446
600	451	503
600	492	430
600	457	524
600	485	484
600	508	450
600	471	473
600	466	486
600	485	484
600	473	481
600	454	467
600	503	460
600	457	486
600	473	480
600	466	493
600	494	445
600	506	496
600	483	488
600	488	477
600	474	462
600	481	470
600	464	466
600	468	500
600	467	498
600	483	470
600	476	448
600	473	484
650	502	435
650	504	454
650	491	478
650	490	478
650	509	420
650	432	535
650	485	464
650	446	481
650	500	464
650	474	484
650	513	450
650	487	506
650	469	483
650	492	478
650	463	482
650	510	464
650	445	480
650	436	479
650	460	483
650	493	454
650	498	466
650	506	499
650	464	491
650	487	483
650	472	466
650	446	487
650	535	417
650	496	442
650	485	451
650	434	477
700	487	451
700	462	467
700	486	458
700	467	470
700	489	489
700	519	424
700	482	481
700	481	492
700	511	448
700	492	484
700	491	490
700	497	466
700	475	457
700	490	443
700	482	455
700	470	471
700	460	458
700	511	445
700	481	495
700	496	468
700	513	448
700	468	480
700	481	501
700	451	478
700	479	458
700	508	486
700	495	456
700	446	513
700	464	471
700	484	444
750	487	479
750	483	455
750	481	473
750	446	498
750	416	524
750	455	463
750	466	481
750	467	488
750	499	487
750	465	500
750	497	432
750	532	452
750	441	466
750	513	450
750	508	430
750	502	478
750	453	498
750	441	482
750	491	450
750	497	477
750	492	453
750	492	450
750	497	449
750	440	538
750	474	501
750	469	479
750	498	436
750	508	457
750	469	468
750	459	493
800	492	467
800	503	456
800	464	456
800	448	478
800	474	470
800	501	429
800	479	506
800	469	524
800	554	416
800	434	491
800	472	499
800	529	451
800	458	470
800	501	458
800	495	441
800	481	473
800	470	465
800	473	484
800	516	470
800	456	479
800	486	428
800	508	454
800	536	413
800	436	488
800	479	493
800	436	472
800	502	471
800	493	469
800	488	456
800	480	494
850	492	425
850	459	478
850	500	452
850	477	465
850	480	451
850	495	482
850	501	434
850	471	485
850	477	464
850	509	446
850	468	458
850	493	475
850	493	476
850	446	521
850	484	477
850	538	430
850	493	472
850	485	466
850	495	450
850	494	486
850	516	401
850	488	445
850	498	443
850	481	459
850	484	482
850	505	458
850	500	450
850	504	450
850	471	461
850	494	477
900	499	469
900	526	451
900	476	478
900	508	447
900	436	486
900	489	449
900	497	479
900	544	444
900	488	465
900	449	477
900	489	478
900	474	468
900	485	449
900	465	480
900	518	440
900	479	459
900	538	438
900	498	437
900	511	427
900	475	448
900	473	454
900	455	442
900	450	510
900	500	440
900	433	523
900	484	485
900	491	482
900	514	439
900	523	447
900	493	463
950	541	458
950	462	488
950	449	487
950	494	434
950	442	482
950	443	505
950	494	446
950	452	489
950	471	486
950	480	489
950	515	434
950	510	420
950	492	495
950	493	470
950	470	465
950	486	466
950	480	512
950	460	516
950	497	450
950	486	480
950	513	452
950	426	522
950	490	448
950	485	465
950	494	420
950	496	466
950	484	445
950	504	448
950	460	467
950	445	506
1000	492	450
1000	509	450
1000	493	472
1000	500	453
1000	522	452
1000	475	477
1000	501	443
1000	480	471
1000	472	456
1000	498	468
1000	509	457
1000	452	481
1000	494	470
1000	449	500
1000	516	447
1000	498	459
1000	502	451
1000	465	486
1000	502	468
1000	486	467
1000	501	437
1000	467	503
1000	485	454
1000	523	457
1000	477	454
1000	462	483
1000	441	526
1000	488	471
1000	429	502
1000	477	449
