#Playouts	randomMCTS	RuleBased
#for 200games
50	409	463
50	376	464
50	386	505
50	368	503
50	373	481
50	381	461
50	396	475
50	410	486
50	397	465
50	363	486
50	388	466
50	358	498
50	379	481
50	348	525
50	383	481
50	354	534
50	409	520
50	416	462
50	396	475
50	376	491
50	346	494
50	414	455
50	388	479
50	363	518
50	367	471
50	431	466
50	364	492
50	385	471
50	442	463
50	361	503
100	442	444
100	407	460
100	397	478
100	438	460
100	425	428
100	412	424
100	395	457
100	417	457
100	418	470
100	444	448
100	431	454
100	420	474
100	407	467
100	391	474
100	398	466
100	406	466
100	431	463
100	377	475
100	407	452
100	456	441
100	427	451
100	399	473
100	439	451
100	435	453
100	417	452
100	394	468
100	416	463
100	418	458
100	451	444
100	431	438
150	425	449
150	471	414
150	463	423
150	435	435
150	435	438
150	483	426
150	462	421
150	448	442
150	402	459
150	462	442
150	428	447
150	412	450
150	428	427
150	417	474
150	424	485
150	495	394
150	455	426
150	459	453
150	455	404
150	416	495
150	459	439
150	429	455
150	430	445
150	461	412
150	429	442
150	427	470
150	431	437
150	418	462
150	449	410
150	439	445
200	427	451
200	437	485
200	452	441
200	483	403
200	446	451
200	392	452
200	444	461
200	418	465
200	426	457
200	470	443
200	437	418
200	467	448
200	419	488
200	416	494
200	463	416
200	444	450
200	456	417
200	462	419
200	470	418
200	420	433
200	440	442
200	423	468
200	464	443
200	459	399
200	457	434
200	417	438
200	473	434
200	450	439
200	480	444
200	436	449
250	464	435
250	461	459
250	415	487
250	434	448
250	425	455
250	444	478
250	445	464
250	467	399
250	477	422
250	442	433
250	432	456
250	450	446
250	466	467
250	504	392
250	451	442
250	462	413
250	468	420
250	474	436
250	481	414
250	436	451
250	457	418
250	474	422
250	455	450
250	391	439
250	487	437
250	468	439
250	465	445
250	482	438
250	452	441
250	472	420
300	480	431
300	479	421
300	485	430
300	493	409
300	423	464
300	453	456
300	401	462
300	457	471
300	485	408
300	453	453
300	478	417
300	453	453
300	473	457
300	442	467
300	429	448
300	431	486
300	435	466
300	438	400
300	447	482
300	471	433
300	443	440
300	502	438
300	487	412
300	439	443
300	488	429
300	446	445
300	445	447
300	443	432
300	455	444
300	446	422
350	447	429
350	434	423
350	435	455
350	444	428
350	453	441
350	426	445
350	459	477
350	502	418
350	470	430
350	480	432
350	459	377
350	485	401
350	449	431
350	453	419
350	498	411
350	496	405
350	463	430
350	484	432
350	474	420
350	483	391
350	486	425
350	447	459
350	481	437
350	466	455
350	493	413
350	466	434
350	475	448
350	465	403
350	456	443
350	461	412
400	448	438
400	485	426
400	467	427
400	455	430
400	489	416
400	480	431
400	463	421
400	456	449
400	459	439
400	431	453
400	497	403
400	436	447
400	464	414
400	451	416
400	446	450
400	426	450
400	468	422
400	467	412
400	454	460
400	468	433
400	474	430
400	414	489
400	430	415
400	464	436
400	466	437
400	473	426
400	479	428
400	496	429
400	485	443
400	501	387
450	479	388
450	486	457
450	483	424
450	477	432
450	465	427
450	475	466
450	427	444
450	444	474
450	465	397
450	476	417
450	451	453
450	494	416
450	471	396
450	481	428
450	493	404
450	480	431
450	456	433
450	461	441
450	466	432
450	459	435
450	461	409
450	436	426
450	490	409
450	515	389
450	449	427
450	446	419
450	447	480
450	472	466
450	451	447
450	496	392
500	460	481
500	466	419
500	430	466
500	463	449
500	507	413
500	450	415
500	482	412
500	437	463
500	473	444
500	456	448
500	457	457
500	503	398
500	463	440
500	481	438
500	513	436
500	458	424
500	483	435
500	454	447
500	446	455
500	457	430
500	499	420
500	476	411
500	474	409
500	440	459
500	447	442
500	462	454
500	451	456
500	489	420
500	475	414
500	454	422
550	465	440
550	518	430
550	494	402
550	473	433
550	535	386
550	485	446
550	448	464
550	472	445
550	473	442
550	446	479
550	464	433
550	524	423
550	434	449
550	445	469
550	508	408
550	492	423
550	459	416
550	487	442
550	497	428
550	488	451
550	461	435
550	472	389
550	467	459
550	452	432
550	449	421
550	445	431
550	486	418
550	467	471
550	492	420
550	444	453
600	475	428
600	479	441
600	430	431
600	522	403
600	444	445
600	514	424
600	462	440
600	482	434
600	481	414
600	446	465
600	489	417
600	461	435
600	431	481
600	484	432
600	454	400
600	449	422
600	473	433
600	439	464
600	461	450
600	410	488
600	455	452
600	432	474
600	449	416
600	467	434
600	484	395
600	469	439
600	464	443
600	462	429
600	446	456
600	476	425
650	469	412
650	496	398
650	498	415
650	481	424
650	442	451
650	520	404
650	431	401
650	460	448
650	463	431
650	469	426
650	465	439
650	462	462
650	437	453
650	501	435
650	472	418
650	460	430
650	461	463
650	453	435
650	473	472
650	435	482
650	468	370
650	510	435
650	488	414
650	518	419
650	475	423
650	474	399
650	512	402
650	487	382
650	480	415
650	465	426
700	453	441
700	497	443
700	479	430
700	480	435
700	485	416
700	473	419
700	522	398
700	538	393
700	467	413
700	518	418
700	454	462
700	442	429
700	469	407
700	463	427
700	489	413
700	527	400
700	510	421
700	457	407
700	471	422
700	465	421
700	476	429
700	527	363
700	512	443
700	499	406
700	503	444
700	499	429
700	458	462
700	515	403
700	469	437
700	486	409
750	477	449
750	435	471
750	495	402
750	441	430
750	456	429
750	475	431
750	481	409
750	493	441
750	452	451
750	458	430
750	474	419
750	484	401
750	468	434
750	507	408
750	463	431
750	484	461
750	435	470
750	471	428
750	465	394
750	480	419
750	506	413
750	480	426
750	472	454
750	481	458
750	504	379
750	479	424
750	455	451
750	475	438
750	478	409
750	449	428
800	474	410
800	435	433
800	477	423
800	469	439
800	501	406
800	492	415
800	457	437
800	468	400
800	479	409
800	472	436
800	462	466
800	511	393
800	481	405
800	470	416
800	500	417
800	486	418
800	501	390
800	440	442
800	473	441
800	462	420
800	493	434
800	471	447
800	495	424
800	464	420
800	483	403
800	494	446
800	479	429
800	474	420
800	513	411
800	485	419
850	491	432
850	466	439
850	429	476
850	483	442
850	458	424
850	465	419
850	467	439
850	520	396
850	497	427
850	465	470
850	473	458
850	454	422
850	482	427
850	441	474
850	511	397
850	477	445
850	503	409
850	527	387
850	510	412
850	493	412
850	503	425
850	433	428
850	456	437
850	434	461
850	472	425
850	450	436
850	501	409
850	493	389
850	491	402
850	506	419
900	498	401
900	455	419
900	501	427
900	479	401
900	479	437
900	488	397
900	502	407
900	454	411
900	483	456
900	474	432
