#Playouts	randomMCTS	RuleBased
#for 200games
50	383	511
50	397	511
50	386	503
50	405	523
50	385	513
50	433	493
50	430	498
50	396	479
50	405	487
50	428	502
50	421	488
50	419	487
50	379	519
50	414	507
50	378	539
50	389	521
50	424	486
50	415	471
50	384	528
50	372	531
50	381	561
50	393	531
50	402	489
50	359	548
50	391	534
50	404	493
50	402	490
50	387	508
50	408	465
50	408	501
100	439	510
100	447	460
100	443	510
100	439	512
100	398	488
100	419	518
100	456	472
100	425	499
100	438	508
100	453	500
100	437	479
100	455	469
100	451	504
100	426	471
100	450	481
100	413	501
100	474	472
100	477	474
100	449	491
100	427	518
100	398	530
100	423	524
100	417	497
100	403	534
100	401	511
100	418	497
100	392	498
100	382	518
100	402	501
100	418	462
150	411	496
150	406	531
150	405	525
150	404	522
150	424	493
150	444	486
150	415	520
150	457	472
150	400	477
150	430	485
150	419	537
150	441	480
150	415	486
150	401	508
150	443	493
150	407	512
150	450	485
150	406	533
150	453	482
150	443	494
150	447	521
150	404	538
150	411	505
150	408	492
150	441	456
150	411	498
150	444	463
150	425	501
150	458	483
150	440	493
200	459	470
200	438	491
200	459	483
200	447	524
200	476	495
200	474	487
200	491	440
200	440	469
200	430	479
200	473	469
200	491	465
200	455	444
200	479	477
200	425	489
200	453	493
200	417	530
200	448	465
200	429	496
200	480	454
200	452	465
200	412	487
200	422	505
200	462	506
200	470	470
200	464	428
200	427	491
200	442	501
200	453	465
200	440	494
200	451	521
250	420	519
250	484	417
250	428	502
250	432	458
250	470	438
250	443	493
250	491	457
250	481	490
250	456	431
250	435	505
250	441	488
250	452	469
250	490	489
250	467	486
250	465	465
250	426	532
250	447	495
250	447	480
250	471	456
250	413	514
250	442	490
250	471	462
250	410	481
250	485	440
250	486	450
250	443	498
250	440	491
250	433	510
250	472	468
250	431	515
300	458	492
300	446	471
300	436	502
300	473	459
300	470	466
300	467	434
300	445	501
300	449	488
300	442	476
300	455	487
300	484	458
300	475	445
300	483	490
300	454	480
300	475	467
300	436	475
300	427	509
300	486	469
300	470	479
300	504	461
300	472	480
300	472	493
300	494	460
300	471	470
300	453	473
300	452	483
300	469	447
300	483	460
300	474	487
300	467	444
350	470	470
350	458	461
350	447	464
350	460	495
350	464	460
350	459	494
350	443	492
350	460	479
350	426	504
350	448	477
350	480	501
350	461	484
350	448	500
350	462	489
350	481	461
350	456	463
350	438	496
350	463	482
350	472	486
350	453	480
350	423	511
350	427	495
350	455	487
350	449	481
350	472	467
350	479	499
350	426	499
350	507	464
350	438	493
350	509	458
400	451	470
400	458	490
400	480	460
400	491	469
400	465	462
400	452	459
400	428	505
400	480	463
400	466	450
400	464	464
400	492	469
400	430	509
400	426	530
400	481	509
400	472	475
400	472	457
400	489	448
400	468	469
400	501	482
400	460	464
400	448	481
400	471	462
400	450	442
400	474	460
400	460	489
400	450	492
400	508	438
400	456	484
400	465	486
400	457	475
450	513	437
450	470	470
450	470	459
450	500	467
450	459	501
450	471	486
450	485	473
450	459	452
450	528	446
450	514	442
450	514	452
450	447	494
450	483	452
450	474	449
450	459	479
450	470	501
450	471	460
450	453	526
450	475	517
450	480	459
450	506	424
450	452	480
450	473	456
450	447	501
450	504	437
450	420	517
450	477	461
450	486	470
450	467	460
450	484	499
500	476	473
500	468	450
500	438	503
500	517	439
500	470	486
500	422	504
500	508	470
500	480	514
500	435	480
500	459	464
500	498	461
500	465	477
500	466	468
500	494	480
500	481	481
500	466	449
500	486	479
500	449	525
500	450	490
500	463	508
500	488	483
500	454	472
500	492	464
500	509	452
500	500	479
500	497	472
500	492	475
500	486	449
500	514	421
500	488	484
550	458	459
550	470	459
550	439	483
550	469	436
550	447	504
550	456	485
550	483	480
550	456	459
550	455	501
550	441	447
550	448	504
550	478	441
550	466	473
550	498	469
550	489	490
550	481	465
550	499	449
550	503	474
550	481	461
550	476	458
550	469	486
550	481	446
550	517	444
550	418	520
550	449	475
550	486	443
550	489	466
550	453	487
550	528	404
550	453	494
600	485	453
600	490	420
600	459	507
600	492	446
600	451	503
600	492	430
600	457	524
600	485	484
600	508	450
600	471	473
600	466	486
600	485	484
600	473	481
600	454	467
600	503	460
600	457	486
600	473	480
600	466	493
600	494	445
600	506	496
600	483	488
600	488	477
600	474	462
600	481	470
600	464	466
600	468	500
600	467	498
600	483	470
600	476	448
600	473	484
650	502	435
650	504	454
650	491	478
650	490	478
650	509	420
650	432	535
650	485	464
650	446	481
650	500	464
650	474	484
650	513	450
650	487	506
650	469	483
650	492	478
650	463	482
650	510	464
650	445	480
650	436	479
650	460	483
650	493	454
650	498	466
650	506	499
650	464	491
650	487	483
650	472	466
650	446	487
650	535	417
650	496	442
650	485	451
650	434	477
700	487	451
700	462	467
700	486	458
700	467	470
700	489	489
700	519	424
700	482	481
700	481	492
700	511	448
700	492	484
700	491	490
700	497	466
700	475	457
700	490	443
700	482	455
700	470	471
700	460	458
700	511	445
700	481	495
700	496	468
700	513	448
700	468	480
700	481	501
700	451	478
700	479	458
700	508	486
700	495	456
700	446	513
700	464	471
700	484	444
750	487	479
750	483	455
750	481	473
750	446	498
750	416	524
750	455	463
750	466	481
750	467	488
750	499	487
750	465	500
750	497	432
750	532	452
750	441	466
750	513	450
750	508	430
750	502	478
750	453	498
750	441	482
750	491	450
750	497	477
750	492	453
750	492	450
750	497	449
750	440	538
750	474	501
750	469	479
750	498	436
750	508	457
750	469	468
750	459	493
800	448	486
800	494	445
800	496	472
800	437	509
800	466	470
800	477	471
800	455	522
800	471	493
800	475	452
800	493	459
800	475	464
800	479	476
800	527	422
800	486	452
800	456	463
800	448	459
800	486	456
800	514	431
800	498	437
800	494	449
800	483	457
800	446	487
800	473	489
800	469	493
800	504	525
800	485	473
800	544	423
800	475	438
800	456	489
800	470	479
850	495	462
850	468	470
850	521	456
850	451	471
850	520	456
850	490	487
850	462	458
850	519	460
850	506	422
850	499	425
850	480	446
850	475	438
850	463	471
850	477	439
850	462	466
850	480	490
850	475	472
850	535	425
850	449	511
850	515	430
850	496	440
850	467	450
850	507	446
850	494	462
850	478	484
850	487	461
850	472	436
850	475	438
850	476	475
850	474	484
900	466	465
900	463	497
900	463	494
900	510	421
900	521	442
900	486	473
900	486	453
900	465	481
900	464	459
900	542	455
900	467	481
900	450	494
900	474	456
900	498	437
900	501	454
900	519	449
900	481	465
900	479	471
900	452	460
900	473	495
900	501	486
900	440	476
900	485	468
900	452	511
900	461	495
900	473	493
900	465	485
900	477	481
900	459	467
900	482	458
950	441	449
950	491	463
950	477	456
950	473	487
950	478	476
950	474	484
950	480	462
950	427	485
950	484	438
950	494	441
950	470	521
950	487	462
950	517	454
950	487	479
950	502	452
950	491	432
950	481	457
950	498	469
950	462	530
950	523	468
950	519	424
950	464	488
950	448	489
950	499	439
950	480	473
950	503	457
950	499	452
950	490	453
950	509	434
950	492	477
1000	454	487
1000	479	459
1000	504	488
1000	464	490
1000	501	453
1000	499	447
1000	453	489
1000	468	476
1000	489	484
1000	437	490
1000	467	464
1000	483	486
1000	465	495
1000	510	455
1000	444	485
1000	513	480
1000	474	484
1000	442	476
1000	493	491
1000	472	438
1000	462	486
1000	500	477
1000	452	471
1000	467	497
1000	493	432
1000	499	425
1000	464	423
1000	495	474
1000	506	470
1000	480	463
