#rollouts	ruleMCTSdev	rulebaseddev	mctsMedian	rulebasedMedian
50	17.080236613074796	21.434235157374033	285.3	616.7666666666667
100	20.968202527669828	20.889006072875837	291.7	616.1666666666666
150	20.612154655450993	24.901853321601884	282.96666666666664	624.0333333333333
200	17.026720042400967	17.48891274395059	286.76666666666665	622
250	18.20079573857257	23.554388028609416	288.2	622.4666666666667
300	18.09540489077046	22.15981658914098	288.26666666666665	622.3333333333334
350	19.081223845662414	22.461845043509243	296.1	610.5
400	20.146845964042377	27.23174280305897	279.6333333333333	630.1333333333333
450	20.650596273153507	22.79584555818546	290.03333333333336	629.9333333333333
500	16.625039970568146	19.993935862265037	287.56666666666666	625.3666666666667
550	19.26491063070876	21.47610273084358	287.3666666666667	625.1333333333333
600	21.149196338091112	23.880930689039584	298.56666666666666	618.3333333333334
650	18.754187271910375	20.289428763280398	283.26666666666665	624.8333333333334
700	22.85861089292223	19.229078793961186	289.03333333333336	622.6333333333333
750	18.976725006017844	17.004428091313265	287.43333333333334	626.5666666666667
800	21.149196338091112	23.880930689039584	298.56666666666666	618.3333333333334
