#Playouts	RuleBasedMCTS	RuleBased
#for 200games
50	304	637
50	312	601
50	279	625
50	295	598
50	262	613
50	287	627
50	276	606
50	263	666
50	298	622
50	273	641
50	301	603
50	289	611
50	290	569
50	282	620
50	320	566
50	316	608
50	271	623
50	275	618
50	286	631
50	275	622
50	287	623
50	285	596
50	272	642
50	271	639
50	307	625
50	302	601
50	248	650
50	289	612
50	266	595
50	278	613
100	269	634
100	296	609
100	300	613
100	303	634
100	295	617
100	298	616
100	323	617
100	258	674
100	296	583
100	270	629
100	268	611
100	268	646
100	279	621
100	308	593
100	298	622
100	291	603
100	297	633
100	313	589
100	334	588
100	294	619
100	331	603
100	320	589
100	266	635
100	268	650
100	293	616
100	317	599
100	271	626
100	279	587
100	280	605
100	268	624
150	331	597
150	291	632
150	258	619
150	289	655
150	270	639
150	282	671
150	290	642
150	302	610
150	277	631
150	274	636
150	296	595
150	282	641
150	313	585
150	254	684
150	281	630
150	255	641
150	245	629
150	321	592
150	295	618
150	271	652
150	254	629
150	281	607
150	288	590
150	273	637
150	275	630
150	307	586
150	260	633
150	285	602
150	307	596
150	282	612
200	282	589
200	296	625
200	267	639
200	302	623
200	276	599
200	306	609
200	264	635
200	275	640
200	297	607
200	283	629
200	268	626
200	284	580
200	276	620
200	312	619
200	295	626
200	272	652
200	275	618
200	321	610
200	288	625
200	269	656
200	310	609
200	276	626
200	287	604
200	294	632
200	308	642
200	314	600
200	283	621
200	269	630
200	299	627
200	255	642
250	292	634
250	299	588
250	281	625
250	305	604
250	311	588
250	301	602
250	284	636
250	295	597
250	320	604
250	263	666
250	264	622
250	263	651
250	290	603
250	327	593
250	310	637
250	267	602
250	294	605
250	275	642
250	307	614
250	258	645
250	285	623
250	306	609
250	298	610
250	268	644
250	275	629
250	265	687
250	290	608
250	280	630
250	286	634
250	287	642
300	262	639
300	279	661
300	295	631
300	307	599
300	272	636
300	265	647
300	307	590
300	277	622
300	330	594
300	313	580
300	280	627
300	285	632
300	298	624
300	273	654
300	287	627
300	309	607
300	304	643
300	319	587
300	286	639
300	294	600
300	267	643
300	274	620
300	264	642
300	260	635
300	289	589
300	281	637
300	280	634
300	305	601
300	301	598
300	285	632
350	277	620
350	290	608
350	294	613
350	321	578
350	311	604
350	270	655
350	276	659
350	272	614
350	305	593
350	277	634
350	314	607
350	290	605
350	294	612
350	300	632
350	333	588
350	320	566
350	290	626
350	304	605
350	321	591
350	278	622
350	309	605
350	283	607
350	300	628
350	324	604
350	252	646
350	306	575
350	301	613
350	304	585
350	295	589
350	272	631
400	279	615
400	285	629
400	305	633
400	284	618
400	262	679
400	260	645
400	299	595
400	249	681
400	241	640
400	270	638
400	272	658
400	305	597
400	290	668
400	260	657
400	283	593
400	273	663
400	237	642
400	262	614
400	289	623
400	269	634
400	276	616
400	263	637
400	319	579
400	308	644
400	299	574
400	285	597
400	293	626
400	303	639
400	291	627
400	278	643
450	279	642
450	294	640
450	265	630
450	267	640
450	319	590
450	301	600
450	320	596
450	267	645
450	273	648
450	284	636
450	266	641
450	273	614
450	293	635
450	324	599
450	279	611
450	275	663
450	288	610
450	279	646
450	298	612
450	316	613
450	274	685
450	310	642
450	282	613
450	258	669
450	292	629
450	286	611
450	283	652
450	298	643
450	319	633
450	339	610
500	292	634
500	262	641
500	256	637
500	302	611
500	293	592
500	291	631
500	255	626
500	294	632
500	298	619
500	284	607
500	297	634
500	334	590
500	291	633
500	295	597
500	303	630
500	285	636
500	293	624
500	289	637
500	275	623
500	298	645
500	285	634
500	258	625
500	268	632
500	298	620
500	305	595
500	278	643
500	289	587
500	281	683
500	279	643
500	299	620
550	275	645
550	288	626
550	286	618
550	272	606
550	265	664
550	299	636
550	294	628
550	286	626
550	278	631
550	283	647
550	272	633
550	286	638
550	276	635
550	334	584
550	290	615
550	301	619
550	296	615
550	296	606
550	282	597
550	283	606
550	321	585
550	269	614
550	312	634
550	276	645
550	274	654
550	243	662
550	331	585
550	277	625
550	276	650
550	300	625
600	299	604
600	283	633
600	296	639
600	335	596
600	282	626
600	307	624
600	328	603
600	285	623
600	285	610
600	308	614
600	288	653
600	295	624
600	312	575
600	290	624
600	288	629
600	287	602
600	290	627
600	301	607
600	252	646
600	325	601
600	295	626
600	338	582
600	318	612
600	273	649
600	270	677
600	287	647
600	349	571
600	303	598
600	295	632
600	293	596
650	291	617
650	279	613
650	251	648
650	268	622
650	257	620
650	282	623
650	283	598
650	296	617
650	274	608
650	301	614
650	272	631
650	304	614
650	236	661
650	281	626
650	281	637
650	297	605
650	272	655
650	298	592
650	285	628
650	284	625
650	278	626
650	294	616
650	309	608
650	303	659
650	265	651
650	284	631
650	265	660
650	331	576
650	294	633
650	283	631
700	297	622
700	314	653
700	279	636
700	254	632
700	301	625
700	267	612
700	333	635
700	295	618
700	277	612
700	285	617
700	294	635
700	279	629
700	281	648
700	251	625
700	262	637
700	297	606
700	298	603
700	323	573
700	296	615
700	271	632
700	278	621
700	262	658
700	300	617
700	301	607
700	305	594
700	310	628
700	278	618
700	348	584
700	266	646
700	269	641
750	277	616
750	304	628
750	277	626
750	283	622
750	283	614
750	315	605
750	278	622
750	299	647
750	334	604
750	280	656
750	282	630
750	321	601
750	278	617
750	315	617
750	271	639
750	304	598
750	309	632
750	259	665
750	266	636
750	292	629
750	277	654
750	260	627
750	267	632
750	287	615
750	279	632
750	279	641
750	286	610
750	304	610
750	295	620
750	262	652
800	288	637
800	312	555
800	306	629
800	256	632
800	261	653
800	297	630
800	304	645
800	316	567
800	274	636
800	267	623
800	282	635
800	268	626
800	270	633
800	288	608
800	246	691
800	317	602
800	288	595
800	274	647
800	322	604
800	302	601
800	325	613
800	286	649
800	276	614
800	304	608
800	304	595
800	322	604
800	302	601
800	325	613
800	286	649
