maxTemp	 avgCost	 avgIteration
40	4152.600000	33031.600000
 39	4334.600000	28815.000000
 38	4146.000000	31290.600000
 37	4099.200000	32020.000000
 36	4145.200000	30662.400000
 35	4121.000000	34217.600000
 34	4138.200000	29930.600000
 33	4217.200000	26752.200000
 32	4131.600000	28097.400000
 31	4292.200000	37610.600000
 30	4068.000000	28365.800000
 29	4177.400000	32311.200000
 28	4180.000000	28261.800000
 27	4248.200000	28267.000000
 26	4159.000000	35002.200000
 25	4298.800000	29721.600000
 24	4251.600000	34752.200000
 23	4146.200000	29359.600000
 22	4125.200000	31190.600000
 21	4258.000000	29876.800000
 20	4198.800000	26447.600000
 19	4210.400000	30919.400000
 18	4143.200000	28564.800000
 17	4111.800000	39819.200000
 16	4255.000000	30404.000000
 15	4221.000000	34473.000000
 14	4257.400000	30479.600000
 13	4069.400000	31458.000000
 12	4194.400000	33467.800000
 11	4214.400000	25775.000000
 10	4179.200000	29098.800000
 9	4195.600000	26853.400000
 
